EventID,Edep_MeV,Energy_keV,#PE,#NoisePE,SignalPE
360532,0.15738598429234693,800,116,32,84
360534,0.8602623615031745,800,481,97,384
360543,0.4739374992236794,800,247,66,181
360544,0.860494395692622,800,567,140,427
360546,0.8616053527758494,800,523,109,414
360548,0.8602607153596079,800,518,131,387
360551,0.8609772866417009,800,551,144,407
360552,0.8607908686204606,800,577,163,414
360553,0.3536447187731494,800,199,32,167
360556,0.860632673848004,800,521,142,379
360557,0.8604651184748786,800,508,133,375
360564,0.3003775862845108,800,166,42,124
360565,0.563676272014186,800,362,98,264
360567,0.8612509716070117,800,554,140,414
361272,0.3993996370749137,800,218,50,168
361275,0.861333011913891,800,499,111,388
361279,0.6040264355881636,800,356,103,253
361281,0.8612323327428627,800,478,104,374
361283,0.4622182866224779,800,310,92,218
361284,0.21420678603866342,800,103,22,81
361293,0.04381617737036811,800,29,9,20
361296,0.8614271361750088,800,556,146,410
361298,0.8609674392063533,800,564,159,405
361303,0.47107318704133666,800,273,74,199
361308,0.6469437661486476,800,352,79,273
361310,0.8600403404033715,800,480,108,372
361311,0.861175199387316,800,518,126,392
361313,0.008010962006697,800,7,3,4
361319,0.2502782442508321,800,139,27,112
361322,0.8611250895714783,800,519,127,392
361323,0.6261660885431473,800,362,78,284
361324,0.8605184294730378,800,567,168,399
361325,0.3984288591821767,800,259,77,182
361327,0.8605931997389249,800,502,127,375
361329,0.00974083756880278,800,7,3,4
361330,0.8610610008397304,800,530,130,400
361331,0.2690114510453398,800,168,48,120
361339,0.8607635326299804,800,449,91,358
361760,0.3150425775466825,800,176,48,128
361761,0.8030227855008434,800,473,118,355
361765,0.20942630815370247,800,113,35,78
361768,0.8604028880395624,800,494,121,373
361771,0.05426911552183897,800,38,16,22
361773,0.5973199792422571,800,357,94,263
361774,0.8613143206748267,800,521,118,403
361776,0.8601473230354865,800,548,128,420
361778,0.02997632736096416,800,10,1,9
361780,0.8613443216263678,800,519,127,392
361782,0.8602790892463367,800,494,130,364
361783,0.4511403330256971,800,298,81,217
361784,0.8609161624787007,800,481,105,376
361786,0.5350608186902502,800,311,73,238
361787,0.8607421448976128,800,571,154,417
361789,0.1845407605323645,800,95,17,78
361791,0.8610218752395098,800,484,88,396
361794,0.20968286293355762,800,115,34,81
361797,0.860111302952466,800,486,114,372
361798,0.860406007995563,800,487,111,376
361800,0.860592256203783,800,511,130,381
361801,0.04780717361510672,800,32,6,26
361803,0.18475810342595747,800,97,23,74
361807,0.8608077052281342,800,540,155,385
361808,0.4919319394084302,800,309,75,234
361809,0.6114740451604345,800,323,82,241
361810,0.17218352238731519,800,105,29,76
361811,0.08701398614805363,800,63,20,43
361814,0.8603863873361167,800,512,124,388
361816,0.8609935460295508,800,566,138,428
361817,0.052535937910616795,800,23,4,19
361818,0.3713192301391542,800,201,42,159
361820,0.11980262823700205,800,76,21,55
361822,0.3209917039024636,800,155,36,119
361826,0.020821592659290972,800,14,1,13
361828,0.8610156908176027,800,496,117,379
361829,0.2968799263409076,800,162,35,127
362603,0.37329054002569684,800,232,60,172
362610,0.42994409587285987,800,254,67,187
362611,0.8607356297213494,800,533,135,398
362613,0.3050026188514909,800,186,52,134
362619,0.3488939707479313,800,237,65,172
362620,0.8603481024304542,800,504,121,383
362623,0.8610117921624724,800,549,155,394
362624,0.8611080712232722,800,515,118,397
362625,0.3672035063873544,800,206,40,166
362626,0.470589496042198,800,316,88,228
362627,0.8604702792598152,800,462,91,371
362631,0.41943852733835335,800,254,70,184
362638,0.5158371709305594,800,330,86,244
362640,0.861039545240371,800,477,108,369
362641,0.09625581468674535,800,66,22,44
362643,0.08735542006216819,800,54,18,36
362644,0.8603443281219632,800,516,126,390
362647,0.425897203609513,800,239,46,193
362649,0.8607100019265282,800,485,107,378
362651,0.8610993072425939,800,482,103,379
362652,0.020462315112619887,800,21,11,10
362658,0.18515763291225698,800,94,25,69
362659,0.24374659837451393,800,137,35,102
362660,0.57481928752968,800,323,95,228
362663,0.1963750281988037,800,127,32,95
362664,0.12241440058282069,800,64,18,46
362667,0.18619490004819178,800,123,29,94
362669,0.8613497612629378,800,567,133,434
363160,0.8613736480775136,800,491,109,382
363162,0.8607348854574376,800,545,131,414
363164,0.8608748919437662,800,421,79,342
363166,0.8611109865552178,800,509,129,380
363167,0.8605410405982283,800,547,154,393
363168,0.8608310999930574,800,461,109,352
363169,0.009943528313337011,800,4,1,3
363171,0.21697745571632862,800,162,43,119
363175,0.8610333420088417,800,548,151,397
363181,0.6284878709127089,800,310,64,246
363184,0.8608352466751222,800,480,100,380
363185,0.8606364167483459,800,531,145,386
363187,0.09364707025357498,800,76,20,56
363189,0.8606059860039268,800,481,108,373
363193,0.8604516872218154,800,592,157,435
363194,0.8611809194006009,800,560,151,409
363196,0.6472429763979095,800,402,118,284
363199,0.8605943376681716,800,526,165,361
363205,0.01844539334024911,800,15,8,7
363206,0.8606968606759542,800,533,139,394
363207,0.8611159108098203,800,483,95,388
363216,0.8608985765389113,800,470,127,343
363220,0.860765181096766,800,539,130,409
363224,0.24665044180758333,800,165,40,125
363225,0.12479001309719806,800,65,13,52
363227,0.5110778897747793,800,312,89,223
363790,0.8609480908500451,800,546,135,411
363791,0.22995841341778692,800,134,26,108
363794,0.31015103175114234,800,188,41,147
363798,0.23862015255433108,800,153,49,104
363800,0.8613062473187815,800,521,127,394
363802,0.8606114668620163,800,527,118,409
363804,0.3618579521091114,800,260,68,192
